ID,State,Station,GMEN,GWOMEN,GTHIRD,GTOTAL,OMEN,OWOMEN,OTHIRD,OTOTAL,SMEN,SWOMEN,STOTAL,TOTAL
1,ANDHRA PRADESH,45951,19693678,20219104,3924,39916706,5438,1451,2,6891,65811,2351,68162,39984868
2,ARUNACHAL PRADESH,2220,409200,422418,0,831618,0,0,0,0,5692,94,5786,837404
3,ASSAM,28205,12128552,11982805,396,24111753,9,1,0,10,63979,1737,65716,24177469
4,BIHAR,77221,39788531,36022923,2418,75813872,62,4,0,66,157572,8508,166080,75979952
5,CHHATTISGARH,23907,9726783,9726415,811,19454009,15,1,0,16,19002,846,19848,19473857
6,GOA,1722,567386,600406,10,1167802,56,22,0,78,290,8,298,1168100
7,GUJARAT,51782,25336610,23751738,1417,49089765,630,193,0,823,27054,889,27943,49117708
8,HARYANA,19863,10416965,9131015,432,19548412,518,195,0,713,105278,4544,109822,19658234
9,HIMACHAL PRADESH,7881,2780208,2727016,37,5507261,16,6,0,22,65993,1539,67532,5574793
10,JHARKHAND,29464,12608389,11921207,368,24529964,97,26,0,123,42034,1898,43932,24573896
11,KARNATAKA,58282,25921637,25558007,4647,51484291,2143,866,1,3010,46181,1598,47779,51532070
12,KERALA,25147,12969158,13826149,274,26795581,82100,5837,9,87946,56066,2633,58699,26854280
13,MADHYA PRADESH,64100,27962711,26023733,1432,53987876,76,21,0,97,73637,2299,75936,54063812
14,MAHARASHTRA,96866,47135999,43145067,4735,90285801,3946,1454,0,5400,116326,3670,119996,90405797
15,MANIPUR,2959,995209,1062425,220,2057854,0,1,0,1,21003,931,21934,2079788
16,MEGHALAYA,3482,1068801,1092326,2,2161129,1,2,0,3,3777,62,3839,2164968
17,MIZORAM,1267,408970,433418,0,842388,0,0,0,0,4984,87,5071,847459
18,NAGALAND,2315,653616,656035,0,1309651,0,0,0,0,7873,108,7981,1317632
19,ODISHA,37606,16496153,15849966,3222,32349341,133,36,0,169,47623,2294,49917,32399258
20,PUNJAB,24535,11161783,10030320,751,21192854,1208,385,0,1593,105735,2776,108511,21301365
21,RAJASTHAN,51187,26847147,24611232,591,51458970,178,75,0,253,137970,4852,142822,51601792
22,SIKKIM,569,227406,223143,1,450550,0,0,0,0,1966,30,1996,452546
23,TAMIL NADU,68036,30489866,31543286,8027,62041179,2721,589,0,3310,71946,1912,73858,62115037
24,TELANGANA,34891,15050464,14925243,1952,29977659,2214,525,1,2740,14763,550,15313,29992972
25,TRIPURA,3328,1414576,1398825,77,2813478,0,0,0,0,10160,184,10344,2823822
26,UTTARAKHAND,11647,4235977,3931331,295,8167603,24,11,0,35,91367,2595,93962,8261565
27,UTTAR PRADESH,161203,80601630,69857397,8462,150467489,796,327,,1123,287197,12709,299906,150767395
28,WEST BENGAL,79501,38236688,36970167,1799,75208654,181,96,0,277,110734,4063,114797,75323451
29,A & N ISLANDS,412,161452,146748,9,308209,3,0,0,3,550,28,578,308787
30,CHANDIGARH,597,335351,307800,31,643182,24,19,,43,582,105,687,643869
31,Dadra & Nagar Haveli and Daman & Diu,447,198450,184967,0,383417,20,21,0,41,19,0,19,383436
32,UTs of JAMMU & KASHMIR,11370,4291704,4067901,170,8359775,3,1,0,4,74771,802,75573,8435348
33,LADAKH,577,90334,89162,0,179496,0,0,0,0,5583,45,5628,185124
34,LAKSHADWEEP,56,28327,27533,0,55860,0,0,0,0,166,2,168,56028
35,NCT OF DELHI,13649,8038676,6736470,1155,14776301,356,187,,543,10406,1663,12069,14788370
36,PUDUCHERRY,959,471282,531169,144,1002595,307,56,0,363,297,16,313,1002908
37,GRAND TOTAL,1043204,488949669,459734867,47809,948732345,103275,12408,13,115696,1854387,68428,1922815,950655160
